ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display1.RefreshRate,Display2.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,List1,List1.Cycle,List1.Sample,Procedure[Block],Running[Block],Trial,BlockList1,BlockList1.Cycle,BlockList1.Sample,BlockList2,BlockList2.Cycle,BlockList2.Sample,Procedure[Trial],Running[Trial],SubTrial,b1trails1,b1trails1.Cycle,b1trails1.Sample,CorrectSubj1,List2,List2.Cycle,List2.Sample,PracTrials1,PracTrials1.Cycle,PracTrials1.Sample,PracTrials2,PracTrials2.Cycle,PracTrials2.Sample,Procedure[SubTrial],Running[SubTrial],Screen1_Obj_Colour,Screen_1_Obj_Pos,Subject1ACC,Subject1RESP,Subject1RT
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,1,NULL,NULL,NULL,e,NULL,NULL,NULL,5,2,1,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,e,1,e,2530
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,2,NULL,NULL,NULL,w,NULL,NULL,NULL,16,2,2,NULL,NULL,NULL,TrialProc47,PracTrials1,red,e,1,w,577
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,3,NULL,NULL,NULL,e,NULL,NULL,NULL,13,2,3,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,e,1,e,340
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,4,NULL,NULL,NULL,e,NULL,NULL,NULL,10,2,4,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,w,1,e,557
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,5,NULL,NULL,NULL,e,NULL,NULL,NULL,14,2,5,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,w,1,e,472
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,6,NULL,NULL,NULL,e,NULL,NULL,NULL,2,2,6,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,w,1,e,415
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,7,NULL,NULL,NULL,e,NULL,NULL,NULL,1,2,7,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,e,1,e,445
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,8,NULL,NULL,NULL,w,NULL,NULL,NULL,12,2,8,NULL,NULL,NULL,TrialProc47,PracTrials1,red,e,1,w,820
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,9,NULL,NULL,NULL,w,NULL,NULL,NULL,11,2,9,NULL,NULL,NULL,TrialProc47,PracTrials1,red,w,1,w,429
Individual,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">320799132749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-10T17:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-004-1,59.955,?,1.0.0.478,1,-1322845622,Professional,2.0.10.353,2.0.10.353,10/10/2017,10/10/2017 17:16,18:16:16,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,10,NULL,NULL,NULL,e,NULL,NULL,NULL,9,2,10,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,e,1,e,388
